Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,15,18,101,302,547,355,106,70,194,245,45,351,225,217,397,355,330,1754,108
0,20,57,646,476,767,259,105,283,796,138,153,470,112,130,62,226,418,171,129
0,98,125,1108,820,1131,276,244,385,665,422,176,417,91,99,179,494,163,1081,216
0,16,0,380,41,268,182,22,201,58,175,115,15,108,25,87,162,278,126,51
0,0,7,9,0,0,2,1,0,0,8,219,3,4,18,4,58,12,22,29
0,3,0,1,0,0,6,5,0,1,0,16,0,6,22,6,4,3,7,4
1,4,0,1,7,0,2,2,0,3,0,18,1,9,2,4,9,5,0,3
0,1,9,4,7,2,18,9,4,2,4,29,3,39,4,3,12,11,11,35
2,3,12,1,48,6,9,72,40,9,17,117,18,53,67,18,67,77,19,43
1,10,25,13,191,14,53,88,135,15,78,197,64,65,152,63,61,181,101,156
1,15,32,76,133,27,135,135,26,112,39,312,27,121,187,106,143,280,71,327
16,35,77,76,199,157,160,71,101,8,5,290,73,249,78,65,277,304,136,0
